h,r,t,weight,comment
C_SyntheticConcept_011957,leadsTo,C_SyntheticConcept_012142,1.0,
C_SyntheticConcept_011581,leadsTo,C_SyntheticConcept_011692,1.0,
C_SyntheticConcept_017398,leadsTo,C_SyntheticConcept_017546,1.0,
C_SyntheticConcept_011022,leadsTo,C_SyntheticConcept_011207,1.0,
C_SyntheticConcept_002461,leadsTo,C_SyntheticConcept_002535,1.0,
C_SyntheticConcept_019960,leadsTo,C_SyntheticConcept_019961,1.0,
C_SyntheticConcept_006930,leadsTo,C_SyntheticConcept_007004,1.0,
C_SyntheticConcept_013237,leadsTo,C_SyntheticConcept_013348,1.0,
C_SyntheticConcept_008304,leadsTo,C_SyntheticConcept_008378,1.0,
C_SyntheticConcept_004542,leadsTo,C_SyntheticConcept_004727,1.0,
C_SyntheticConcept_002349,leadsTo,C_SyntheticConcept_002497,1.0,
C_SyntheticConcept_013576,leadsTo,C_SyntheticConcept_013650,1.0,
C_SyntheticConcept_016659,leadsTo,C_SyntheticConcept_016844,1.0,
C_SyntheticConcept_010126,leadsTo,C_SyntheticConcept_010237,1.0,
C_SyntheticConcept_012798,leadsTo,C_SyntheticConcept_012946,1.0,
C_SyntheticConcept_007827,leadsTo,C_SyntheticConcept_007901,1.0,
C_SyntheticConcept_013124,leadsTo,C_SyntheticConcept_013198,1.0,
C_SyntheticConcept_001973,leadsTo,C_SyntheticConcept_001974,1.0,
C_SyntheticConcept_004135,leadsTo,C_SyntheticConcept_004136,1.0,
C_SyntheticConcept_006270,leadsTo,C_SyntheticConcept_006381,1.0,
C_SyntheticConcept_010576,leadsTo,C_SyntheticConcept_010761,1.0,
C_SyntheticConcept_001083,leadsTo,C_SyntheticConcept_001268,1.0,
C_SyntheticConcept_002382,leadsTo,C_SyntheticConcept_002456,1.0,
C_SyntheticConcept_017656,leadsTo,C_SyntheticConcept_017841,1.0,
C_SyntheticConcept_003925,leadsTo,C_SyntheticConcept_004073,1.0,
C_SyntheticConcept_004154,leadsTo,C_SyntheticConcept_004339,1.0,
C_SyntheticConcept_008088,leadsTo,C_SyntheticConcept_008089,1.0,
C_SyntheticConcept_014109,leadsTo,C_SyntheticConcept_014220,1.0,
C_SyntheticConcept_017147,leadsTo,C_SyntheticConcept_017148,1.0,
C_SyntheticConcept_017628,leadsTo,C_SyntheticConcept_017813,1.0,
C_SyntheticConcept_006363,leadsTo,C_SyntheticConcept_006364,1.0,
C_SyntheticConcept_003595,leadsTo,C_SyntheticConcept_003669,1.0,
C_SyntheticConcept_019367,leadsTo,C_SyntheticConcept_019368,1.0,
C_SyntheticConcept_006383,leadsTo,C_SyntheticConcept_006531,1.0,
C_SyntheticConcept_010770,leadsTo,C_SyntheticConcept_010918,1.0,
C_SyntheticConcept_003627,leadsTo,C_SyntheticConcept_003812,1.0,
C_SyntheticConcept_003638,leadsTo,C_SyntheticConcept_003639,1.0,
C_SyntheticConcept_013055,leadsTo,C_SyntheticConcept_013203,1.0,
C_SyntheticConcept_011347,leadsTo,C_SyntheticConcept_011532,1.0,
C_SyntheticConcept_011516,leadsTo,C_SyntheticConcept_011664,1.0,
C_SyntheticConcept_002040,leadsTo,C_SyntheticConcept_002188,1.0,
C_SyntheticConcept_008107,leadsTo,C_SyntheticConcept_008218,1.0,
C_SyntheticConcept_010878,leadsTo,C_SyntheticConcept_010989,1.0,
C_SyntheticConcept_016554,leadsTo,C_SyntheticConcept_016628,1.0,
C_SyntheticConcept_015297,leadsTo,C_SyntheticConcept_015445,1.0,
C_SyntheticConcept_012484,leadsTo,C_SyntheticConcept_012558,1.0,
C_SyntheticConcept_011740,leadsTo,C_SyntheticConcept_011851,1.0,
C_SyntheticConcept_005244,leadsTo,C_SyntheticConcept_005355,1.0,
C_SyntheticConcept_007869,leadsTo,C_SyntheticConcept_008017,1.0,
C_SyntheticConcept_018888,leadsTo,C_SyntheticConcept_018889,1.0,
C_SyntheticConcept_019129,leadsTo,C_SyntheticConcept_019130,1.0,
C_SyntheticConcept_018919,leadsTo,C_SyntheticConcept_018920,1.0,
C_SyntheticConcept_004464,leadsTo,C_SyntheticConcept_004538,1.0,
C_SyntheticConcept_019637,leadsTo,C_SyntheticConcept_019638,1.0,
C_SyntheticConcept_019913,leadsTo,C_SyntheticConcept_000061,1.0,
C_SyntheticConcept_006630,leadsTo,C_SyntheticConcept_006704,1.0,
C_SyntheticConcept_008782,leadsTo,C_SyntheticConcept_008893,1.0,
C_SyntheticConcept_018230,leadsTo,C_SyntheticConcept_018378,1.0,
C_SyntheticConcept_018980,leadsTo,C_SyntheticConcept_019128,1.0,
C_SyntheticConcept_005304,leadsTo,C_SyntheticConcept_005378,1.0,
C_SyntheticConcept_014455,leadsTo,C_SyntheticConcept_014456,1.0,
C_SyntheticConcept_007223,leadsTo,C_SyntheticConcept_007224,1.0,
C_SyntheticConcept_006768,leadsTo,C_SyntheticConcept_006953,1.0,
C_SyntheticConcept_006201,leadsTo,C_SyntheticConcept_006386,1.0,
C_SyntheticConcept_003563,leadsTo,C_SyntheticConcept_003564,1.0,
C_SyntheticConcept_007727,leadsTo,C_SyntheticConcept_007838,1.0,
C_SyntheticConcept_016882,leadsTo,C_SyntheticConcept_016993,1.0,
C_SyntheticConcept_001183,leadsTo,C_SyntheticConcept_001294,1.0,
C_SyntheticConcept_007156,leadsTo,C_SyntheticConcept_007157,1.0,
C_SyntheticConcept_019129,leadsTo,C_SyntheticConcept_019277,1.0,
C_SyntheticConcept_019582,leadsTo,C_SyntheticConcept_019730,1.0,
C_SyntheticConcept_007237,leadsTo,C_SyntheticConcept_007422,1.0,
C_SyntheticConcept_011557,leadsTo,C_SyntheticConcept_011558,1.0,
C_SyntheticConcept_005669,leadsTo,C_SyntheticConcept_005780,1.0,
C_SyntheticConcept_016607,leadsTo,C_SyntheticConcept_016608,1.0,
C_SyntheticConcept_008494,leadsTo,C_SyntheticConcept_008605,1.0,
C_SyntheticConcept_012099,leadsTo,C_SyntheticConcept_012284,1.0,
C_SyntheticConcept_013771,leadsTo,C_SyntheticConcept_013772,1.0,
C_SyntheticConcept_014695,leadsTo,C_SyntheticConcept_014806,1.0,
C_SyntheticConcept_003340,leadsTo,C_SyntheticConcept_003341,1.0,
C_SyntheticConcept_015982,leadsTo,C_SyntheticConcept_016093,1.0,
C_SyntheticConcept_008410,leadsTo,C_SyntheticConcept_008411,1.0,
C_SyntheticConcept_007013,leadsTo,C_SyntheticConcept_007014,1.0,
C_SyntheticConcept_009110,leadsTo,C_SyntheticConcept_009221,1.0,
C_SyntheticConcept_011759,leadsTo,C_SyntheticConcept_011944,1.0,
C_SyntheticConcept_001684,leadsTo,C_SyntheticConcept_001685,1.0,
C_SyntheticConcept_003447,leadsTo,C_SyntheticConcept_003448,1.0,
C_SyntheticConcept_003581,leadsTo,C_SyntheticConcept_003766,1.0,
C_SyntheticConcept_014964,leadsTo,C_SyntheticConcept_015149,1.0,
C_SyntheticConcept_016684,leadsTo,C_SyntheticConcept_016832,1.0,
C_SyntheticConcept_009607,leadsTo,C_SyntheticConcept_009718,1.0,
C_SyntheticConcept_007359,leadsTo,C_SyntheticConcept_007507,1.0,
C_SyntheticConcept_014811,leadsTo,C_SyntheticConcept_014812,1.0,
C_SyntheticConcept_013847,leadsTo,C_SyntheticConcept_013958,1.0,
C_SyntheticConcept_007035,leadsTo,C_SyntheticConcept_007109,1.0,
C_SyntheticConcept_015152,leadsTo,C_SyntheticConcept_015337,1.0,
C_SyntheticConcept_003713,leadsTo,C_SyntheticConcept_003861,1.0,
C_SyntheticConcept_000388,leadsTo,C_SyntheticConcept_000573,1.0,
C_SyntheticConcept_010990,leadsTo,C_SyntheticConcept_011064,1.0,
C_SyntheticConcept_018604,leadsTo,C_SyntheticConcept_018789,1.0,
C_SyntheticConcept_016093,leadsTo,C_SyntheticConcept_016094,1.0,
C_SyntheticConcept_013799,leadsTo,C_SyntheticConcept_013800,1.0,
C_SyntheticConcept_014524,leadsTo,C_SyntheticConcept_014525,1.0,
C_SyntheticConcept_015652,leadsTo,C_SyntheticConcept_015726,1.0,
C_SyntheticConcept_000111,leadsTo,C_SyntheticConcept_000296,1.0,
C_SyntheticConcept_009073,leadsTo,C_SyntheticConcept_009147,1.0,
C_SyntheticConcept_012117,leadsTo,C_SyntheticConcept_012302,1.0,
C_SyntheticConcept_010046,leadsTo,C_SyntheticConcept_010120,1.0,
C_SyntheticConcept_004255,leadsTo,C_SyntheticConcept_004329,1.0,
C_SyntheticConcept_002050,leadsTo,C_SyntheticConcept_002124,1.0,
C_SyntheticConcept_002350,leadsTo,C_SyntheticConcept_002424,1.0,
C_SyntheticConcept_003842,leadsTo,C_SyntheticConcept_003990,1.0,
C_SyntheticConcept_013980,leadsTo,C_SyntheticConcept_013981,1.0,
C_SyntheticConcept_016124,leadsTo,C_SyntheticConcept_016198,1.0,
C_SyntheticConcept_005235,leadsTo,C_SyntheticConcept_005383,1.0,
C_SyntheticConcept_001187,leadsTo,C_SyntheticConcept_001372,1.0,
C_SyntheticConcept_010097,leadsTo,C_SyntheticConcept_010098,1.0,
C_SyntheticConcept_016573,leadsTo,C_SyntheticConcept_016721,1.0,
C_SyntheticConcept_002205,leadsTo,C_SyntheticConcept_002316,1.0,
C_SyntheticConcept_012498,leadsTo,C_SyntheticConcept_012646,1.0,
C_SyntheticConcept_007271,leadsTo,C_SyntheticConcept_007345,1.0,
C_SyntheticConcept_006395,leadsTo,C_SyntheticConcept_006580,1.0,
C_SyntheticConcept_007734,leadsTo,C_SyntheticConcept_007845,1.0,
C_SyntheticConcept_013542,leadsTo,C_SyntheticConcept_013543,1.0,
C_SyntheticConcept_000713,leadsTo,C_SyntheticConcept_000861,1.0,
C_SyntheticConcept_012312,leadsTo,C_SyntheticConcept_012386,1.0,
C_SyntheticConcept_015644,leadsTo,C_SyntheticConcept_015829,1.0,
C_SyntheticConcept_017005,leadsTo,C_SyntheticConcept_017079,1.0,
C_SyntheticConcept_003590,leadsTo,C_SyntheticConcept_003664,1.0,
C_SyntheticConcept_000037,leadsTo,C_SyntheticConcept_000111,1.0,
C_SyntheticConcept_019221,leadsTo,C_SyntheticConcept_019406,1.0,
C_SyntheticConcept_012845,leadsTo,C_SyntheticConcept_012919,1.0,
C_SyntheticConcept_018900,leadsTo,C_SyntheticConcept_019048,1.0,
C_SyntheticConcept_011336,leadsTo,C_SyntheticConcept_011410,1.0,
C_SyntheticConcept_008060,leadsTo,C_SyntheticConcept_008061,1.0,
C_SyntheticConcept_008115,leadsTo,C_SyntheticConcept_008116,1.0,
C_SyntheticConcept_011934,leadsTo,C_SyntheticConcept_012082,1.0,
C_SyntheticConcept_002688,leadsTo,C_SyntheticConcept_002836,1.0,
C_SyntheticConcept_009334,leadsTo,C_SyntheticConcept_009445,1.0,
C_SyntheticConcept_009226,leadsTo,C_SyntheticConcept_009411,1.0,
C_SyntheticConcept_004717,leadsTo,C_SyntheticConcept_004865,1.0,
C_SyntheticConcept_003777,leadsTo,C_SyntheticConcept_003962,1.0,
C_SyntheticConcept_019540,leadsTo,C_SyntheticConcept_019614,1.0,
C_SyntheticConcept_006644,leadsTo,C_SyntheticConcept_006645,1.0,
C_SyntheticConcept_011426,leadsTo,C_SyntheticConcept_011427,1.0,
C_SyntheticConcept_004914,leadsTo,C_SyntheticConcept_005062,1.0,
C_SyntheticConcept_001167,leadsTo,C_SyntheticConcept_001315,1.0,
C_SyntheticConcept_004890,leadsTo,C_SyntheticConcept_005001,1.0,
C_SyntheticConcept_007246,leadsTo,C_SyntheticConcept_007320,1.0,
C_SyntheticConcept_014631,leadsTo,C_SyntheticConcept_014742,1.0,
C_SyntheticConcept_011262,leadsTo,C_SyntheticConcept_011373,1.0,
C_SyntheticConcept_009940,leadsTo,C_SyntheticConcept_010051,1.0,
C_SyntheticConcept_015887,leadsTo,C_SyntheticConcept_015998,1.0,
C_SyntheticConcept_014103,leadsTo,C_SyntheticConcept_014288,1.0,
C_SyntheticConcept_007277,leadsTo,C_SyntheticConcept_007388,1.0,
C_SyntheticConcept_008736,leadsTo,C_SyntheticConcept_008810,1.0,
C_SyntheticConcept_006497,leadsTo,C_SyntheticConcept_006608,1.0,
C_SyntheticConcept_014005,leadsTo,C_SyntheticConcept_014153,1.0,
C_SyntheticConcept_006330,leadsTo,C_SyntheticConcept_006331,1.0,
C_SyntheticConcept_006822,leadsTo,C_SyntheticConcept_006823,1.0,
C_SyntheticConcept_016416,leadsTo,C_SyntheticConcept_016601,1.0,
C_SyntheticConcept_017845,leadsTo,C_SyntheticConcept_017993,1.0,
C_SyntheticConcept_012110,leadsTo,C_SyntheticConcept_012111,1.0,
C_SyntheticConcept_006716,leadsTo,C_SyntheticConcept_006864,1.0,
C_SyntheticConcept_000938,leadsTo,C_SyntheticConcept_001086,1.0,
C_SyntheticConcept_010653,leadsTo,C_SyntheticConcept_010654,1.0,
C_SyntheticConcept_014217,leadsTo,C_SyntheticConcept_014402,1.0,
C_SyntheticConcept_014246,leadsTo,C_SyntheticConcept_014247,1.0,
C_SyntheticConcept_016848,leadsTo,C_SyntheticConcept_017033,1.0,
C_SyntheticConcept_018737,leadsTo,C_SyntheticConcept_018738,1.0,
C_SyntheticConcept_015688,leadsTo,C_SyntheticConcept_015799,1.0,
C_SyntheticConcept_003744,leadsTo,C_SyntheticConcept_003855,1.0,
C_SyntheticConcept_006198,leadsTo,C_SyntheticConcept_006383,1.0,
C_SyntheticConcept_008626,leadsTo,C_SyntheticConcept_008700,1.0,
C_SyntheticConcept_007651,leadsTo,C_SyntheticConcept_007725,1.0,
C_SyntheticConcept_015222,leadsTo,C_SyntheticConcept_015370,1.0,
C_SyntheticConcept_019933,leadsTo,C_SyntheticConcept_000081,1.0,
C_SyntheticConcept_002529,leadsTo,C_SyntheticConcept_002640,1.0,
C_SyntheticConcept_003079,leadsTo,C_SyntheticConcept_003080,1.0,
C_SyntheticConcept_003108,leadsTo,C_SyntheticConcept_003256,1.0,
C_SyntheticConcept_013212,leadsTo,C_SyntheticConcept_013213,1.0,
C_SyntheticConcept_011175,leadsTo,C_SyntheticConcept_011176,1.0,
C_SyntheticConcept_007255,leadsTo,C_SyntheticConcept_007329,1.0,
C_SyntheticConcept_008260,leadsTo,C_SyntheticConcept_008445,1.0,
C_SyntheticConcept_009210,leadsTo,C_SyntheticConcept_009395,1.0,
C_SyntheticConcept_019686,leadsTo,C_SyntheticConcept_019760,1.0,
C_SyntheticConcept_016129,leadsTo,C_SyntheticConcept_016130,1.0,
C_SyntheticConcept_012672,leadsTo,C_SyntheticConcept_012857,1.0,
C_SyntheticConcept_006301,leadsTo,C_SyntheticConcept_006486,1.0,
C_SyntheticConcept_018289,leadsTo,C_SyntheticConcept_018290,1.0,
C_SyntheticConcept_000432,leadsTo,C_SyntheticConcept_000580,1.0,
C_SyntheticConcept_018708,leadsTo,C_SyntheticConcept_018782,1.0,
C_SyntheticConcept_003690,leadsTo,C_SyntheticConcept_003838,1.0,
C_SyntheticConcept_013360,leadsTo,C_SyntheticConcept_013434,1.0,
C_SyntheticConcept_016147,leadsTo,C_SyntheticConcept_016148,1.0,
C_SyntheticConcept_019338,leadsTo,C_SyntheticConcept_019412,1.0,
C_SyntheticConcept_006360,leadsTo,C_SyntheticConcept_006471,1.0,
C_SyntheticConcept_010073,leadsTo,C_SyntheticConcept_010147,1.0,
C_SyntheticConcept_012957,leadsTo,C_SyntheticConcept_012958,1.0,
C_SyntheticConcept_012318,leadsTo,C_SyntheticConcept_012392,1.0,
C_SyntheticConcept_007270,leadsTo,C_SyntheticConcept_007344,1.0,
C_SyntheticConcept_003711,leadsTo,C_SyntheticConcept_003822,1.0,
C_SyntheticConcept_010393,leadsTo,C_SyntheticConcept_010504,1.0,
C_SyntheticConcept_011032,leadsTo,C_SyntheticConcept_011180,1.0,
C_SyntheticConcept_018025,leadsTo,C_SyntheticConcept_018210,1.0,
C_SyntheticConcept_017555,leadsTo,C_SyntheticConcept_017666,1.0,
C_SyntheticConcept_018740,leadsTo,C_SyntheticConcept_018851,1.0,
C_SyntheticConcept_008799,leadsTo,C_SyntheticConcept_008873,1.0,
C_SyntheticConcept_012721,leadsTo,C_SyntheticConcept_012795,1.0,
C_SyntheticConcept_014178,leadsTo,C_SyntheticConcept_014289,1.0,
C_SyntheticConcept_003240,leadsTo,C_SyntheticConcept_003241,1.0,
C_SyntheticConcept_007748,leadsTo,C_SyntheticConcept_007896,1.0,
C_SyntheticConcept_002677,leadsTo,C_SyntheticConcept_002788,1.0,
C_SyntheticConcept_011661,leadsTo,C_SyntheticConcept_011772,1.0,
C_SyntheticConcept_018540,leadsTo,C_SyntheticConcept_018725,1.0,
C_SyntheticConcept_015494,leadsTo,C_SyntheticConcept_015642,1.0,
C_SyntheticConcept_004124,leadsTo,C_SyntheticConcept_004198,1.0,
C_SyntheticConcept_007334,leadsTo,C_SyntheticConcept_007335,1.0,
C_SyntheticConcept_004972,leadsTo,C_SyntheticConcept_005120,1.0,
C_SyntheticConcept_002780,leadsTo,C_SyntheticConcept_002891,1.0,
C_SyntheticConcept_012054,leadsTo,C_SyntheticConcept_012128,1.0,
C_SyntheticConcept_014433,leadsTo,C_SyntheticConcept_014581,1.0,
C_SyntheticConcept_012111,leadsTo,C_SyntheticConcept_012112,1.0,
C_SyntheticConcept_008818,leadsTo,C_SyntheticConcept_008819,1.0,
C_SyntheticConcept_014922,leadsTo,C_SyntheticConcept_015107,1.0,
C_SyntheticConcept_007109,leadsTo,C_SyntheticConcept_007183,1.0,
C_SyntheticConcept_019736,leadsTo,C_SyntheticConcept_019737,1.0,
C_SyntheticConcept_018055,leadsTo,C_SyntheticConcept_018240,1.0,
C_SyntheticConcept_004056,leadsTo,C_SyntheticConcept_004167,1.0,
C_SyntheticConcept_006753,leadsTo,C_SyntheticConcept_006864,1.0,
C_SyntheticConcept_001287,leadsTo,C_SyntheticConcept_001472,1.0,
C_SyntheticConcept_016101,leadsTo,C_SyntheticConcept_016249,1.0,
C_SyntheticConcept_003396,leadsTo,C_SyntheticConcept_003470,1.0,
C_SyntheticConcept_010510,leadsTo,C_SyntheticConcept_010695,1.0,
C_SyntheticConcept_008511,leadsTo,C_SyntheticConcept_008622,1.0,
C_SyntheticConcept_013929,leadsTo,C_SyntheticConcept_014114,1.0,
C_SyntheticConcept_003451,leadsTo,C_SyntheticConcept_003562,1.0,
C_SyntheticConcept_017801,leadsTo,C_SyntheticConcept_017949,1.0,
C_SyntheticConcept_007354,leadsTo,C_SyntheticConcept_007355,1.0,
C_SyntheticConcept_000688,leadsTo,C_SyntheticConcept_000689,1.0,
C_SyntheticConcept_015638,leadsTo,C_SyntheticConcept_015712,1.0,
C_SyntheticConcept_014214,leadsTo,C_SyntheticConcept_014288,1.0,
C_SyntheticConcept_016376,leadsTo,C_SyntheticConcept_016487,1.0,
C_SyntheticConcept_013203,leadsTo,C_SyntheticConcept_013314,1.0,
C_SyntheticConcept_017432,leadsTo,C_SyntheticConcept_017543,1.0,
C_SyntheticConcept_003311,leadsTo,C_SyntheticConcept_003422,1.0,
C_SyntheticConcept_016610,leadsTo,C_SyntheticConcept_016795,1.0,
C_SyntheticConcept_005378,leadsTo,C_SyntheticConcept_005379,1.0,
C_SyntheticConcept_012083,leadsTo,C_SyntheticConcept_012231,1.0,
C_SyntheticConcept_007423,leadsTo,C_SyntheticConcept_007497,1.0,
C_SyntheticConcept_010614,leadsTo,C_SyntheticConcept_010688,1.0,
C_SyntheticConcept_018357,leadsTo,C_SyntheticConcept_018468,1.0,
C_SyntheticConcept_018976,leadsTo,C_SyntheticConcept_019087,1.0,
C_SyntheticConcept_009571,leadsTo,C_SyntheticConcept_009756,1.0,
C_SyntheticConcept_002302,leadsTo,C_SyntheticConcept_002487,1.0,
C_SyntheticConcept_009281,leadsTo,C_SyntheticConcept_009392,1.0,
C_SyntheticConcept_009309,leadsTo,C_SyntheticConcept_009420,1.0,
C_SyntheticConcept_004582,leadsTo,C_SyntheticConcept_004767,1.0,
C_SyntheticConcept_001573,leadsTo,C_SyntheticConcept_001721,1.0,
C_SyntheticConcept_002692,leadsTo,C_SyntheticConcept_002803,1.0,
C_SyntheticConcept_003414,leadsTo,C_SyntheticConcept_003562,1.0,
C_SyntheticConcept_009425,leadsTo,C_SyntheticConcept_009499,1.0,
C_SyntheticConcept_003236,leadsTo,C_SyntheticConcept_003384,1.0,
C_SyntheticConcept_010729,leadsTo,C_SyntheticConcept_010803,1.0,
C_SyntheticConcept_012843,leadsTo,C_SyntheticConcept_012917,1.0,
C_SyntheticConcept_009922,leadsTo,C_SyntheticConcept_010033,1.0,
C_SyntheticConcept_007624,leadsTo,C_SyntheticConcept_007809,1.0,
C_SyntheticConcept_006585,leadsTo,C_SyntheticConcept_006659,1.0,
C_SyntheticConcept_003481,leadsTo,C_SyntheticConcept_003482,1.0,
C_SyntheticConcept_008664,leadsTo,C_SyntheticConcept_008738,1.0,
C_SyntheticConcept_003912,leadsTo,C_SyntheticConcept_003986,1.0,
C_SyntheticConcept_005703,leadsTo,C_SyntheticConcept_005814,1.0,
C_SyntheticConcept_018487,leadsTo,C_SyntheticConcept_018561,1.0,
C_SyntheticConcept_011291,leadsTo,C_SyntheticConcept_011365,1.0,
C_SyntheticConcept_007521,leadsTo,C_SyntheticConcept_007669,1.0,
C_SyntheticConcept_006669,leadsTo,C_SyntheticConcept_006817,1.0,
C_SyntheticConcept_010770,leadsTo,C_SyntheticConcept_010844,1.0,
C_SyntheticConcept_006598,leadsTo,C_SyntheticConcept_006599,1.0,
C_SyntheticConcept_018844,leadsTo,C_SyntheticConcept_018955,1.0,
C_SyntheticConcept_016545,leadsTo,C_SyntheticConcept_016546,1.0,
C_SyntheticConcept_002856,leadsTo,C_SyntheticConcept_003041,1.0,
C_SyntheticConcept_019316,leadsTo,C_SyntheticConcept_019390,1.0,
C_SyntheticConcept_017088,leadsTo,C_SyntheticConcept_017273,1.0,
C_SyntheticConcept_009051,leadsTo,C_SyntheticConcept_009199,1.0,
C_SyntheticConcept_002796,leadsTo,C_SyntheticConcept_002797,1.0,
C_SyntheticConcept_014979,leadsTo,C_SyntheticConcept_015127,1.0,
C_SyntheticConcept_012568,leadsTo,C_SyntheticConcept_012753,1.0,
C_SyntheticConcept_007489,leadsTo,C_SyntheticConcept_007490,1.0,
C_SyntheticConcept_008020,leadsTo,C_SyntheticConcept_008205,1.0,
C_SyntheticConcept_013209,leadsTo,C_SyntheticConcept_013320,1.0,
C_SyntheticConcept_018054,leadsTo,C_SyntheticConcept_018128,1.0,
C_SyntheticConcept_009284,leadsTo,C_SyntheticConcept_009469,1.0,
C_SyntheticConcept_012430,leadsTo,C_SyntheticConcept_012541,1.0,
C_SyntheticConcept_005736,leadsTo,C_SyntheticConcept_005737,1.0,
C_SyntheticConcept_011756,leadsTo,C_SyntheticConcept_011867,1.0,
C_SyntheticConcept_009748,leadsTo,C_SyntheticConcept_009896,1.0,
C_SyntheticConcept_018808,leadsTo,C_SyntheticConcept_018993,1.0,
C_SyntheticConcept_005218,leadsTo,C_SyntheticConcept_005219,1.0,
C_SyntheticConcept_003466,leadsTo,C_SyntheticConcept_003467,1.0,
C_SyntheticConcept_010340,leadsTo,C_SyntheticConcept_010341,1.0,
C_SyntheticConcept_003682,leadsTo,C_SyntheticConcept_003867,1.0,
C_SyntheticConcept_003776,leadsTo,C_SyntheticConcept_003961,1.0,
C_SyntheticConcept_016520,leadsTo,C_SyntheticConcept_016668,1.0,
C_SyntheticConcept_007522,leadsTo,C_SyntheticConcept_007596,1.0,
C_SyntheticConcept_002819,leadsTo,C_SyntheticConcept_002893,1.0,
C_SyntheticConcept_005663,leadsTo,C_SyntheticConcept_005848,1.0,
C_SyntheticConcept_008182,leadsTo,C_SyntheticConcept_008367,1.0,
C_SyntheticConcept_007593,leadsTo,C_SyntheticConcept_007778,1.0,
C_SyntheticConcept_007103,leadsTo,C_SyntheticConcept_007288,1.0,
C_SyntheticConcept_011863,leadsTo,C_SyntheticConcept_011974,1.0,
C_SyntheticConcept_007711,leadsTo,C_SyntheticConcept_007712,1.0,
C_SyntheticConcept_009794,leadsTo,C_SyntheticConcept_009795,1.0,
C_SyntheticConcept_016378,leadsTo,C_SyntheticConcept_016563,1.0,
C_SyntheticConcept_005296,leadsTo,C_SyntheticConcept_005481,1.0,
C_SyntheticConcept_018365,leadsTo,C_SyntheticConcept_018550,1.0,
C_SyntheticConcept_019468,leadsTo,C_SyntheticConcept_019542,1.0,
C_SyntheticConcept_001132,leadsTo,C_SyntheticConcept_001280,1.0,
C_SyntheticConcept_004652,leadsTo,C_SyntheticConcept_004800,1.0,
C_SyntheticConcept_007780,leadsTo,C_SyntheticConcept_007965,1.0,
C_SyntheticConcept_001499,leadsTo,C_SyntheticConcept_001573,1.0,
C_SyntheticConcept_007522,leadsTo,C_SyntheticConcept_007523,1.0,
C_SyntheticConcept_016835,leadsTo,C_SyntheticConcept_017020,1.0,
C_SyntheticConcept_012734,leadsTo,C_SyntheticConcept_012919,1.0,
C_SyntheticConcept_004488,leadsTo,C_SyntheticConcept_004636,1.0,
C_SyntheticConcept_006972,leadsTo,C_SyntheticConcept_007120,1.0,
C_SyntheticConcept_018561,leadsTo,C_SyntheticConcept_018635,1.0,
C_SyntheticConcept_000457,leadsTo,C_SyntheticConcept_000642,1.0,
C_SyntheticConcept_010020,leadsTo,C_SyntheticConcept_010021,1.0,
C_SyntheticConcept_010106,leadsTo,C_SyntheticConcept_010217,1.0,
C_SyntheticConcept_006089,leadsTo,C_SyntheticConcept_006200,1.0,
C_SyntheticConcept_004920,leadsTo,C_SyntheticConcept_005068,1.0,
C_SyntheticConcept_007726,leadsTo,C_SyntheticConcept_007837,1.0,
C_SyntheticConcept_014983,leadsTo,C_SyntheticConcept_015131,1.0,
C_SyntheticConcept_015050,leadsTo,C_SyntheticConcept_015051,1.0,
C_SyntheticConcept_002467,leadsTo,C_SyntheticConcept_002615,1.0,
C_SyntheticConcept_004093,leadsTo,C_SyntheticConcept_004241,1.0,
C_SyntheticConcept_000284,leadsTo,C_SyntheticConcept_000432,1.0,
C_SyntheticConcept_012224,leadsTo,C_SyntheticConcept_012409,1.0,
C_SyntheticConcept_017328,leadsTo,C_SyntheticConcept_017402,1.0,
C_SyntheticConcept_009343,leadsTo,C_SyntheticConcept_009344,1.0,
C_SyntheticConcept_002130,leadsTo,C_SyntheticConcept_002204,1.0,
C_SyntheticConcept_002585,leadsTo,C_SyntheticConcept_002770,1.0,
C_SyntheticConcept_004892,leadsTo,C_SyntheticConcept_004893,1.0,
C_SyntheticConcept_000552,leadsTo,C_SyntheticConcept_000700,1.0,
C_SyntheticConcept_002810,leadsTo,C_SyntheticConcept_002958,1.0,
C_SyntheticConcept_011025,leadsTo,C_SyntheticConcept_011210,1.0,
C_SyntheticConcept_003648,leadsTo,C_SyntheticConcept_003796,1.0,
C_SyntheticConcept_000166,leadsTo,C_SyntheticConcept_000351,1.0,
C_SyntheticConcept_014698,leadsTo,C_SyntheticConcept_014772,1.0,
C_SyntheticConcept_009365,leadsTo,C_SyntheticConcept_009439,1.0,
C_SyntheticConcept_009076,leadsTo,C_SyntheticConcept_009077,1.0,
C_SyntheticConcept_013769,leadsTo,C_SyntheticConcept_013770,1.0,
C_SyntheticConcept_005672,leadsTo,C_SyntheticConcept_005746,1.0,
C_SyntheticConcept_014327,leadsTo,C_SyntheticConcept_014328,1.0,
C_SyntheticConcept_008465,leadsTo,C_SyntheticConcept_008539,1.0,
C_SyntheticConcept_002740,leadsTo,C_SyntheticConcept_002925,1.0,
C_SyntheticConcept_001165,leadsTo,C_SyntheticConcept_001239,1.0,
C_SyntheticConcept_005441,leadsTo,C_SyntheticConcept_005589,1.0,
